"Integration","Supported Version","Automatically Instrumented"
"aiobotocore",">= 0.2.3","No"
"aiohttp (client)",">= 2.0","Yes"
"aiohttp (server)",">= 2.0","No"
"aiomysql",">= 0.1.0","Yes"
"aiopg",">= 0.12.0, <= 0.16","Yes"
"aioredis",">= 1.3.0","Yes"
"algoliasearch",">= 1.20.0","Yes"
"aredis",">= 1.1.0","Yes"
"asgi",">= 2.0","No"
"asyncio","*","Yes 4"
"asyncpg",">= 0.18.0","Yes"
"boto2",">= 2.29.0","Yes"
"botocore",">= 1.4.51","Yes"
"Bottle",">= 0.11","No"
"Cassandra",">= 3.5","Yes"
"Celery",">= 3.1","Yes"
"CherryPy",">= 11.2.0","No"
"Consul",">= 0.7","Yes 2"
"Django",">= 1.8","Yes"
"djangorestframework",">= 3.4","No"
"dogpile.cache",">= 0.6","Yes"
"Elasticsearch",">= 1.6","Yes"
"Falcon",">= 1.0","No"
"Fastapi",">= 0.51","Yes"
"Flask",">= 0.10","Yes"
"Flask Cache",">= 0.12","No"
"gevent",">= 1.1","No"
"Grpc",">= 1.12.0","Yes 5"
"httplib","*","Yes"
"httpx",">= 0.14.0","Yes"
"Jinja2",">= 2.7","Yes"
"kombu",">= 4.0","No"
"Mako",">= 0.1.0","Yes"
"MariaDB",">= 1.0.0","Yes"
"Molten",">= 0.7.0","Yes"
"Mongoengine",">= 0.11","Yes"
"mysql-connector",">= 2.1","No"
"mysqlclient",">= 1.3","No"
"psycopg",">= 2.7","Yes"
"pylibmc",">= 1.4","Yes"
"Pylons",">= 0.9.6","No"
"pymemcache",">= 1.3","Yes"
"Pymongo",">= 3.0","Yes"
"pymysql",">= 0.7, <=0.9","Yes"
"PynamoDB",">= 4.0","Yes"
"PyODBC",">= 4.0","Yes"
"Pyramid",">= 1.7","No"
"pytest",">= 4.0.0","Yes"
"redis",">= 2.6","Yes"
"redis-py-cluster",">= 1.3.5","Yes"
"Requests",">= 2.08","Yes"
"RQ",">= 1.00","Yes"
"Sanic",">= 19.6.0","Yes 3"
"Snowflake",">= 2.0.0","No"
"SQLAlchemy",">= 1.0","No"
"SQLite","*","Yes"
"Starlette",">= 0.13.0","Yes"
"Tornado",">= 4.0","No"
"urllib3",">= 1.22","No"
"Vertica",">= 0.6","Yes"
"WSGI","*","No"
"yaaredis",">= 2.0.0","Yes"
